Wind speed,Wind is from,Ground roughtness,Cloud cover,Air themperature,Humidity,Puddle Diameter (meters),Puddle volume (cubic meters),Chemical,Mesurement Heigth,Chemical state,Building,Building surrounding,Initial Puddle Temperature,Type of Puddle,red distance (km),R complement,orange distance,O complement,yellow distance,Y complement,Red Vertical distane,Yellow Vertical distane,Orange Vertical distane,Red Horizontal distane,Yellow Horizontal distane,Orange Horizontal distane,Origin
8.0,ENE,Urban or forest,3.0,23.0,87.0,9.97,680.63,Methanol,3,Liquid,Double storied,Unsheltered,23.0,Burning Puddle,0.01,10.0 kW/(sq m),0.01,5.0 kW/(sq m),0.02,2.0 kW/(sq m),0.0,0.01,0.01,0.02,0.03,0.02,0.01
7.0,ESE,Urban or forest,8.0,30.0,78.0,21.15,214.76,Methanol,3,Liquid,Single office,Unsheltered,30.0,Burning Puddle,0.02,10.0 kW/(sq m),0.02,5.0 kW/(sq m),0.03,2.0 kW/(sq m),0.01,0.02,0.01,0.03,0.05,0.04,0.02
9.0,NE,Urban or forest,3.0,30.0,78.0,48.84,119.62,Methanol,3,Liquid,Double storied,Sheltered,30.0,Burning Puddle,0.04,10.0 kW/(sq m),0.05,5.0 kW/(sq m),0.07,2.0 kW/(sq m),0.02,0.04,0.03,0.07,0.12,0.09,0.05
5.0,NNE,open country,8.0,28.0,84.0,65.76,30.58,Methanol,3,Liquid,Single office,Unsheltered,28.0,Burning Puddle,0.06,10.0 kW/(sq m),0.07,5.0 kW/(sq m),0.09,2.0 kW/(sq m),0.03,0.05,0.03,0.1,0.18,0.13,0.09
7.0,NE,Urban or forest,9.0,19.0,85.0,22.96,609.85,Methanol,3,Liquid,Single office,Sheltered,19.0,Burning Puddle,0.02,10.0 kW/(sq m),0.03,5.0 kW/(sq m),0.03,2.0 kW/(sq m),0.01,0.02,0.01,0.04,0.06,0.04,0.03
10.0,NNE,Urban or forest,2.0,30.0,82.0,95.39,653.64,Methanol,3,Liquid,Single office,Sheltered,30.0,Burning Puddle,0.08,10.0 kW/(sq m),0.1,5.0 kW/(sq m),0.12,2.0 kW/(sq m),0.04,0.06,0.04,0.15,0.24,0.18,0.12
7.0,NNE,open country,9.0,25.0,86.0,81.27,30.0,Methanol,3,Liquid,Double storied,Unsheltered,25.0,Burning Puddle,0.07,10.0 kW/(sq m),0.08,5.0 kW/(sq m),0.11,2.0 kW/(sq m),0.03,0.05,0.04,0.13,0.21,0.16,0.1
5.0,NE,Urban or forest,2.0,22.0,82.0,77.11,554.22,Methanol,3,Liquid,Single office,Unsheltered,22.0,Burning Puddle,0.07,10.0 kW/(sq m),0.08,5.0 kW/(sq m),0.11,2.0 kW/(sq m),0.03,0.06,0.04,0.12,0.21,0.15,0.1
9.0,ESE,open country,6.0,18.0,85.0,9.78,560.23,Methanol,3,Liquid,Double storied,Sheltered,18.0,Burning Puddle,0.01,10.0 kW/(sq m),0.01,5.0 kW/(sq m),0.02,2.0 kW/(sq m),0.0,0.01,0.01,0.02,0.02,0.02,0.0
7.0,ESE,Urban or forest,0.0,22.0,84.0,79.41,504.23,Methanol,3,Liquid,Double storied,Sheltered,22.0,Burning Puddle,0.07,10.0 kW/(sq m),0.08,5.0 kW/(sq m),0.11,2.0 kW/(sq m),0.03,0.06,0.04,0.12,0.2,0.14,0.09
5.0,ESE,Urban or forest,3.0,28.0,80.0,42.88,529.82,Methanol,3,Liquid,Double storied,Sheltered,28.0,Burning Puddle,0.04,10.0 kW/(sq m),0.05,5.0 kW/(sq m),0.06,2.0 kW/(sq m),0.02,0.03,0.02,0.07,0.12,0.08,0.06
9.0,NNE,Urban or forest,4.0,35.0,86.0,26.79,772.06,Methanol,3,Liquid,Single office,Sheltered,35.0,Burning Puddle,0.03,10.0 kW/(sq m),0.03,5.0 kW/(sq m),0.04,2.0 kW/(sq m),0.01,0.02,0.01,0.04,0.07,0.05,0.03
8.0,ENE,Urban or forest,5.0,29.0,85.0,80.27,518.67,Methanol,3,Liquid,Double storied,Unsheltered,29.0,Burning Puddle,0.07,10.0 kW/(sq m),0.08,5.0 kW/(sq m),0.11,2.0 kW/(sq m),0.03,0.06,0.04,0.12,0.19,0.14,0.08
8.0,NE,open country,2.0,26.0,85.0,13.24,888.19,Methanol,3,Liquid,Double storied,Unsheltered,26.0,Burning Puddle,0.01,10.0 kW/(sq m),0.02,5.0 kW/(sq m),0.02,2.0 kW/(sq m),0.01,0.01,0.01,0.02,0.04,0.03,0.02
8.0,ESE,open country,1.0,26.0,85.0,86.56,190.4,Methanol,3,Liquid,Single office,Sheltered,26.0,Burning Puddle,0.08,10.0 kW/(sq m),0.09,5.0 kW/(sq m),0.11,2.0 kW/(sq m),0.04,0.06,0.05,0.12,0.2,0.15,0.09
4.0,ENE,Urban or forest,1.0,21.0,77.0,9.73,305.16,Methanol,3,Liquid,Double storied,Unsheltered,21.0,Burning Puddle,0.01,10.0 kW/(sq m),0.01,5.0 kW/(sq m),0.02,2.0 kW/(sq m),0.0,0.01,0.01,0.02,0.03,0.02,0.01
4.0,NNE,Urban or forest,9.0,22.0,79.0,51.79,357.46,Methanol,3,Liquid,Enclosed office,,22.0,Burning Puddle,0.05,10.0 kW/(sq m),0.06,5.0 kW/(sq m),0.08,2.0 kW/(sq m),0.02,0.04,0.03,0.08,0.15,0.11,0.07
5.0,NE,open country,1.0,24.0,82.0,48.26,875.02,Methanol,3,Liquid,Enclosed office,,24.0,Burning Puddle,0.04,10.0 kW/(sq m),0.05,5.0 kW/(sq m),0.07,2.0 kW/(sq m),0.02,0.04,0.03,0.07,0.13,0.09,0.06
5.0,NNE,open country,7.0,20.0,79.0,12.58,676.76,Methanol,3,Liquid,Single office,Sheltered,20.0,Burning Puddle,0.01,10.0 kW/(sq m),0.02,5.0 kW/(sq m),0.02,2.0 kW/(sq m),0.01,0.01,0.01,0.02,0.04,0.03,0.02
4.0,ESE,open country,3.0,30.0,80.0,11.07,865.01,Methanol,3,Liquid,Enclosed office,,30.0,Burning Puddle,0.01,10.0 kW/(sq m),0.01,5.0 kW/(sq m),0.02,2.0 kW/(sq m),0.01,0.01,0.01,0.02,0.03,0.02,0.01
8.0,ENE,open country,4.0,29.0,81.0,42.05,244.47,Methanol,3,Liquid,Single office,Unsheltered,29.0,Burning Puddle,0.04,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.06,2.0 kW/(sq m),0.02,0.03,0.02,0.06,0.1,0.07,0.04
4.0,NNE,Urban or forest,2.0,29.0,83.0,63.57,417.08,Methanol,3,Liquid,Single office,Unsheltered,29.0,Burning Puddle,0.06,10.0 kW/(sq m),0.07,5.0 kW/(sq m),0.1,2.0 kW/(sq m),0.03,0.05,0.03,0.1,0.18,0.13,0.08
8.0,ESE,open country,8.0,27.0,78.0,40.98,924.83,Methanol,3,Liquid,Enclosed office,,27.0,Burning Puddle,0.04,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.06,2.0 kW/(sq m),0.02,0.03,0.02,0.06,0.1,0.07,0.04
8.0,NNE,Urban or forest,6.0,33.0,80.0,36.7,152.05,Methanol,3,Liquid,Double storied,Sheltered,33.0,Burning Puddle,0.04,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.05,2.0 kW/(sq m),0.01,0.02,0.02,0.06,0.1,0.07,0.05
4.0,NE,Urban or forest,6.0,22.0,81.0,79.32,348.47,Methanol,3,Liquid,Single office,Sheltered,22.0,Burning Puddle,0.07,10.0 kW/(sq m),0.09,5.0 kW/(sq m),0.12,2.0 kW/(sq m),0.03,0.06,0.04,0.12,0.22,0.16,0.1
3.0,NE,open country,2.0,18.0,82.0,86.92,106.59,Methanol,3,Liquid,Single office,Unsheltered,18.0,Burning Puddle,0.07,10.0 kW/(sq m),0.09,5.0 kW/(sq m),0.13,2.0 kW/(sq m),0.03,0.06,0.05,0.13,0.25,0.17,0.12
8.0,NNE,open country,6.0,34.0,79.0,26.11,33.47,Methanol,3,Liquid,Enclosed office,,34.0,Burning Puddle,0.02,10.0 kW/(sq m),0.03,5.0 kW/(sq m),0.04,2.0 kW/(sq m),0.01,0.02,0.01,0.04,0.07,0.05,0.03
3.0,ENE,Urban or forest,1.0,34.0,81.0,36.42,386.3,Methanol,3,Liquid,Double storied,Sheltered,34.0,Burning Puddle,0.03,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.06,2.0 kW/(sq m),0.01,0.03,0.02,0.06,0.11,0.07,0.05
